Luxembourg,4.981.516.765,6.129.908.824,4/15/2020,2778,3373,69
Bhutan,275.142,904.336,4/8/2020,3,5,0
Mauritania,210.079,-1.014.510.546,4/10/2020,4,7,1
Iran,3.235.239.377,5.356.662.003,2/22/2020,,28,5
Niger,1.760.778.945,8.081.667.388,4/6/2020,217,253,10
Israel,3.103.793.084,3.487.779.653,2/26/2020,,2,0
Singapore,1.292.405.882,1.038.315.132,4/13/2020,2323,2918,9
Seychelles,-46.796,55.492,3/18/2020,,4,0
Bolivia,-162.902,-635.887,4/8/2020,193,210,15
Afghanistan,3.375.957.309,6.719.187.928,4/27/2020,1426,1703,57
Senegal,144.974,-144.524,4/19/2020,144,367,3
Jordan,311.606.303,3.647.707.879,4/7/2020,209,353,6
Korea,South,3.591.094.447,1.277.749.558,4/20/2020,2324,10674
Argentina,-384.161,-636.167,3/22/2020,235,266,4
Venezuela,6.4238,-665.897,4/23/2020,175,311,10
New Zealand,-409.006,174.886,3/10/2020,,5,0
China,3.281.307.921,1.116.545.378,4/25/2020,1098,83909,4636
Finland,6.229.044.221,2.579.260.143,4/11/2020,2556,2905,49
Haiti,189.712,-722.852,5/6/2020,79,101,12
Vietnam,1.440.096.953,1.082.282.817,3/9/2020,,30,0
Guinea,9.9456,-96.966,5/1/2020,1188,1537,7
Kazakhstan,480.196,669.237,4/9/2020,713,781,8
Austria,475.162,145.501,4/7/2020,8350,12639,243
Guinea-Bissau,11.8037,-151.804,4/5/2020,18,18,0
Maldives,3.2028,732.207,5/3/2020,508,527,1
Western Sahara,242.155,-128.858,4/9/2020,4,4,0
Nepal,2.820.697.059,8.422.776.471,3/21/2020,,1,0
Serbia,440.165,210.059,3/25/2020,365,384,4
Kenya,-236,379.062,4/4/2020,118,126,4
Vatican City,419.029,12.4534,4/19/2020,6,8,0
Panama,8.538,-807.821,4/17/2020,3809,4016,109
Trinidad and Tobago,10.6918,-612.225,5/2/2020,20,116,8
Eritrea,151.794,397.823,4/14/2020,34,34,0
Venezuela,6.4238,-665.897,4/25/2020,181,323,10
Lithuania,551.694,238.813,4/18/2020,978,1239,33
Korea,South,3.591.094.447,1.277.749.558,4/26/2020,1731,10738
Iran,3.235.239.377,5.356.662.003,4/27/2020,14733,91472,5806
Guinea-Bissau,11.8037,-151.804,4/11/2020,38,38,0
Latvia,568.796,246.032,5/5/2020,531,896,17
New Zealand,-409.006,174.886,3/4/2020,,3,0
Congo (Brazzaville),-3.573.768.333,15.472.855,3/21/2020,,3,0
Bahrain,2.603.268.824,5.055.101.912,3/21/2020,,305,1
Morocco,317.917,-70.926,5/4/2020,3221,5053,179
United Arab Emirates,2.350.030.547,5.386.795.656,4/28/2020,9110,11380,89
Afghanistan,3.375.957.309,6.719.187.928,4/21/2020,906,1092,36
Israel,3.103.793.084,3.487.779.653,5/1/2020,6720,16101,225
Cyprus,351.264,334.299,3/20/2020,,67,0
Armenia,400.691,450.382,3/5/2020,,1,0
Rwanda,-19.403,298.739,4/30/2020,139,243,0
Sweden,6.063.496.128,1.817.700.069,4/11/2020,8883,10151,887
Zambia,-1.317.865.802,2.785.783.929,4/23/2020,36,76,3
Burma,219.162,95.956,4/26/2020,131,146,5
Argentina,-384.161,-636.167,3/24/2020,329,387,6
Libya,263.351,17.228.331,4/13/2020,16,26,1
Côte-d'Ivoire,7.54,-55.471,3/11/2020,,1,0
Saudi Arabia,239.046.623,4.506.617.036,3/2/2020,,1,0
Vatican City,419.029,12.4534,4/13/2020,6,8,0
Nepal,2.820.697.059,8.422.776.471,1/30/2020,,1,
